	filename	cell	antibody	IFNb
RIP-A1-ADAR1-KO-0h-IgG	RIP-A1-ADAR1-KO-IFNb-0h-IgG.quant.genes.sf	ADAR1-KO	IgG	0h
RIP-A2-ADAR1-KO-0h-IgG	RIP-A2-ADAR1-KO-IFNb-0h-IgG.quant.genes.sf	ADAR1-KO	IgG	0h
RIP-A3-ADAR1-KO-72h-IgG	RIP-A3-ADAR1-KO-IFNb-72h-IgG.quant.genes.sf	ADAR1-KO	IgG	72h
RIP-A4-ADAR1-KO-72h-IgG	RIP-A4-ADAR1-KO-IFNb-72h-IgG.quant.genes.sf	ADAR1-KO	IgG	72h
RIP-A5-ADAR1-KO-0h-J2	RIP-A5-ADAR1-KO-IFNb-0h-J2.quant.genes.sf	ADAR1-KO	J2	0h
RIP-A6-ADAR1-KO-0h-J2	RIP-A6-ADAR1-KO-IFNb-0h-J2.quant.genes.sf	ADAR1-KO	J2	0h
RIP-A7-ADAR1-KO-72h-J2	RIP-A7-ADAR1-KO-IFNb-72h-J2.quant.genes.sf	ADAR1-KO	J2	72h
RIP-A8-ADAR1-KO-72h-J2	RIP-A8-ADAR1-KO-IFNb-72h-J2.quant.genes.sf	ADAR1-KO	J2	72h
RIP-A9-ADAR1-KO-0h-Z22	RIP-A9-ADAR1-KO-IFNb-0h-Z22.quant.genes.sf	ADAR1-KO	Z22	0h
RIP-A10-ADAR1-KO-0h-Z22	RIP-A10-ADAR1-KO-IFNb-0h-Z22.quant.genes.sf	ADAR1-KO	Z22	0h
RIP-A11-ADAR1-KO-72h-Z22	RIP-A11-ADAR1-KO-IFNb-72h-Z22.quant.genes.sf	ADAR1-KO	Z22	72h
RIP-A12-ADAR1-KO-72h-Z22	RIP-A12-ADAR1-KO-IFNb-72h-Z22.quant.genes.sf	ADAR1-KO	Z22	72h
RIP-C1-ADAR1-KO-0h-FLAG	RIP-C1-ADAR1-KO-IFNb-0h-FLAG.quant.genes.sf	ADAR1-KO	FLAG	0h
RIP-C2-ADAR1-KO-0h-FLAG	RIP-C2-ADAR1-KO-IFNb-0h-FLAG.quant.genes.sf	ADAR1-KO	FLAG	0h
RIP-C3-ADAR1-KO-72h-FLAG	RIP-C3-ADAR1-KO-IFNb-72h-FLAG.quant.genes.sf	ADAR1-KO	FLAG	72h
RIP-C4-ADAR1-KO-72h-FLAG	RIP-C4-ADAR1-KO-IFNb-72h-FLAG.quant.genes.sf	ADAR1-KO	FLAG	72h
RIP-B1-ADAR1-WT-0h-IgG	RIP-B1-ADAR1-WT-IFNb-0h-IgG.quant.genes.sf	ADAR1-WT	IgG	0h
RIP-B2-ADAR1-WT-0h-IgG	RIP-B2-ADAR1-WT-IFNb-0h-IgG.quant.genes.sf	ADAR1-WT	IgG	0h
RIP-B3-ADAR1-WT-72h-IgG	RIP-B3-ADAR1-WT-IFNb-72h-IgG.quant.genes.sf	ADAR1-WT	IgG	72h
RIP-B4-ADAR1-WT-72h-IgG	RIP-B4-ADAR1-WT-IFNb-72h-IgG.quant.genes.sf	ADAR1-WT	IgG	72h
RIP-B5-ADAR1-WT-0h-J2	RIP-B5-ADAR1-WT-IFNb-0h-J2.quant.genes.sf	ADAR1-WT	J2	0h
RIP-B6-ADAR1-WT-0h-J2	RIP-B6-ADAR1-WT-IFNb-0h-J2.quant.genes.sf	ADAR1-WT	J2	0h
RIP-B7-ADAR1-WT-72h-J2	RIP-B7-ADAR1-WT-IFNb-72h-J2.quant.genes.sf	ADAR1-WT	J2	72h
RIP-B8-ADAR1-WT-72h-J2	RIP-B8-ADAR1-WT-IFNb-72h-J2.quant.genes.sf	ADAR1-WT	J2	72h
RIP-B9-ADAR1-WT-0h-Z22	RIP-B9-ADAR1-WT-IFNb-0h-Z22.quant.genes.sf	ADAR1-WT	Z22	0h
RIP-B10-ADAR1-WT-0h-Z22	RIP-B10-ADAR1-WT-IFNb-0h-Z22.quant.genes.sf	ADAR1-WT	Z22	0h
RIP-B11-ADAR1-WT-72h-Z22	RIP-B11-ADAR1-WT-IFNb-72h-Z22.quant.genes.sf	ADAR1-WT	Z22	72h
RIP-B12-ADAR1-WT-72h-Z22	RIP-B12-ADAR1-WT-IFNb-72h-Z22.quant.genes.sf	ADAR1-WT	Z22	72h
