sample,fastq_1,fastq_2,strandedness
ADAR1-KO+ZBP1-KO_IFNb-0h_input_1,fq.gz/2213063_JCC391_A1_IT-1_S1_L001_R1_001.fastq.gz,fq.gz/2213063_JCC391_A1_IT-1_S1_L001_R2_001.fastq.gz,reverse
ADAR1-KO+ZBP1-KO_IFNb-0h_input_1,fq.gz/2213063_JCC391_A1_IT-1_S1_L002_R1_001.fastq.gz,fq.gz/2213063_JCC391_A1_IT-1_S1_L002_R2_001.fastq.gz,reverse
ADAR1-KO+ZBP1-KO_IFNb-0h_input_2,fq.gz/2213064_JCC391_B1_IT-2_S2_L001_R1_001.fastq.gz,fq.gz/2213064_JCC391_B1_IT-2_S2_L001_R2_001.fastq.gz,reverse
ADAR1-KO+ZBP1-KO_IFNb-0h_input_2,fq.gz/2213064_JCC391_B1_IT-2_S2_L002_R1_001.fastq.gz,fq.gz/2213064_JCC391_B1_IT-2_S2_L002_R2_001.fastq.gz,reverse
ADAR1-KO+ZBP1-KO_IFNb-0h_input_3,fq.gz/2213067_JCC391_E1_IT-5_S5_L001_R1_001.fastq.gz,fq.gz/2213067_JCC391_E1_IT-5_S5_L001_R2_001.fastq.gz,reverse
ADAR1-KO+ZBP1-KO_IFNb-0h_input_3,fq.gz/2213067_JCC391_E1_IT-5_S5_L002_R1_001.fastq.gz,fq.gz/2213067_JCC391_E1_IT-5_S5_L002_R2_001.fastq.gz,reverse
ADAR1-KO+ZBP1-KO_IFNb-0h_input_4,fq.gz/2213068_JCC391_F1_IT-6_S6_L001_R1_001.fastq.gz,fq.gz/2213068_JCC391_F1_IT-6_S6_L001_R2_001.fastq.gz,reverse
ADAR1-KO+ZBP1-KO_IFNb-0h_input_4,fq.gz/2213068_JCC391_F1_IT-6_S6_L002_R1_001.fastq.gz,fq.gz/2213068_JCC391_F1_IT-6_S6_L002_R2_001.fastq.gz,reverse
ADAR1-KO+ZBP1-KO_IFNb-24h_input_1,fq.gz/2213065_JCC391_C1_IT-3_S3_L001_R1_001.fastq.gz,fq.gz/2213065_JCC391_C1_IT-3_S3_L001_R2_001.fastq.gz,reverse
ADAR1-KO+ZBP1-KO_IFNb-24h_input_1,fq.gz/2213065_JCC391_C1_IT-3_S3_L002_R1_001.fastq.gz,fq.gz/2213065_JCC391_C1_IT-3_S3_L002_R2_001.fastq.gz,reverse
ADAR1-KO+ZBP1-KO_IFNb-24h_input_2,fq.gz/2213066_JCC391_D1_IT-4_S4_L001_R1_001.fastq.gz,fq.gz/2213066_JCC391_D1_IT-4_S4_L001_R2_001.fastq.gz,reverse
ADAR1-KO+ZBP1-KO_IFNb-24h_input_2,fq.gz/2213066_JCC391_D1_IT-4_S4_L002_R1_001.fastq.gz,fq.gz/2213066_JCC391_D1_IT-4_S4_L002_R2_001.fastq.gz,reverse
